Corr config
dr,0.2
dtheta,1.2857142857142858
N_points_avg,1
neighbor_dist,8
""
General info
input_path,../flatspin_output/dipole_paper_raw_data
report_created,2021-04-27 21:29:33.488832
""
Parameter results
T_c,-0.020000000000000014
C_curie,1.696267185855111e-09
A,8.023132557409836
nu,-1.405209269283239
""
Temp sweep data
temps,corrLengths,corrLengthsVar,corrSums,susceptibilities
0.02,99.99999998533086,211.74160785847363,61.080778239317496,4.5609591448457327e-07
0.02,10.0,0.0,53.19071274683475,3.971800535563202e-07
0.02,10.0,0.0,30.00440322734907,2.2404570018613056e-07
0.02,10.0,0.0,22.12191136130629,1.6518639223864616e-07
0.02,10.0,0.0,9.361345301307265,6.990204560388569e-08
0.02,10.0,0.0,3.7435608033713974,2.795352052248769e-08
0.02,10.0,0.0,2.3795009614319595,1.776795742138464e-08
0.02,10.0,0.0,1.9823535533027667,1.4802420381464205e-08
0.02,99.99999998589743,214.02936125149088,61.70500605333941,4.607570822674645e-07
0.02,10.0,0.0,62.605349342128015,4.6748003026333265e-07
0.02,10.0,0.0,27.65157852426504,2.064769368941749e-07
0.02,10.0,0.0,19.126410573964158,1.428187061952711e-07
0.02,10.0,0.0,14.72396960695381,1.0994526553697196e-07
0.02,10.0,0.0,3.418978267611031,2.5529832207756093e-08
0.02,10.0,0.0,2.3725768697600786,1.7716254577804487e-08
0.02,10.0,0.0,1.9902205279573235,1.4861163820934455e-08

