Corr config
dr,0.2
dtheta,1.2857142857142858
N_points_avg,1
""
General info
input_path,flatspin_temp_sweeps/DI40_0.12-0.12_alpha_0.0121_temps_1-3000_runs_25
report_created,2021-04-23 11:24:11.123366
""
Parameter results
T_c,153.67746558965501
C_curie,6.377120664346993e-08
A,6.5990396111407
nu,0.034496046015045786
""
Temp sweep data
temps,corrLengths,corrLengthsVar,corrSums,susceptibilities
1.0,5.647346683600451,0.22148967442812234,474.881959695149,7.091976491549216e-08
126.0,7.120496091093595,0.23559831331981937,560.4434553766878,6.642672983016619e-10
250.9,7.138615544583499,0.3247825048978611,558.1236942155173,3.3220901590951914e-10
375.9,7.009709201114339,0.34799235603186573,549.979228562429,2.1850208107137013e-10
500.8,5.824892047713255,0.24943173531423987,487.96577595565594,1.455146298742608e-10
625.8,5.588278869550759,0.256358022821492,475.2392197547644,1.1341182295406214e-10
750.8,6.5856474975451755,0.25097979543661736,530.3925065064662,1.0550055190256701e-10
875.7,5.804180161338139,0.22248136518287387,488.3366353680873,8.328093123571311e-11
1000.7,5.912407570939524,0.25654526183865506,491.92539237206233,7.341367363149853e-11
1125.6,5.482134530404146,0.2895302752989541,469.54708097163933,6.229836895366437e-11
1250.6,4.987494004824299,0.22633893540227693,433.4124190328871,5.1756457481292875e-11
1375.5,9.23556663606029,0.36487553198133815,647.594682551329,7.031116521070703e-11
1500.5,6.846527400519984,0.295930845041297,545.1604083223585,5.4258767476099803e-11
1625.5,6.495134934661794,0.24216422794864426,528.4197515168597,4.854826172154494e-11
1750.4,5.664924492942208,0.26124969899324935,478.73301760178435,4.0844886394824326e-11
1875.4,5.45378081029569,0.23842913618013967,462.3008995320021,3.681395208009408e-11
2000.3,6.2115502077856135,0.24064685076084208,509.5607331011282,3.8043672525235874e-11
2125.3,8.970622021812947,0.2770825075995889,636.5230463365169,4.472759082194708e-11
2250.2,7.80710832037006,0.308155344968954,586.2611448638663,3.8909137803890816e-11
2375.2,7.904823741550542,0.38075301541586437,588.1716943095049,3.698158762776704e-11
2500.2,5.8508326682620035,0.25480213836624643,487.4476287000404,2.911620892546902e-11
2625.1,4.69016451771292,0.258220622707978,414.38608153703063,2.357441495709867e-11
2750.1,4.8572565998360835,0.28268670495216813,419.39539468688804,2.277491616672309e-11
2875.0,4.109544888331266,0.2615451445472775,371.8961771274271,1.9318147642986577e-11
3000.0,4.128481861771334,0.2628824741354894,372.03688606654725,1.852022940372312e-11

