Corr config
dr,0.2
dtheta,1.2857142857142858
N_points_avg,1
neighbor_dist,8
""
General info
input_path,../dev_flatspin_simulation_analysis/flatspin_output/dipole_paper_raw_data
report_created,2021-04-28 10:08:18.509670
""
Parameter results
T_c,-0.020000000000000014
C_curie,1.696267185855111e-09
A,1.5661073939903998
nu,-1.0778578388895839
""
Temp sweep data
temps,corrLengths,corrLengthsVar,corrSums,susceptibilities
0.02,8.648220869300044,0.13518307976008503,61.080778239317496,4.5609591448457327e-07
0.02,6.944975727295972,0.11867886240466335,53.19071274683475,3.971800535563202e-07
0.02,3.8528965640265627,0.1270346966119831,30.00440322734907,2.2404570018613056e-07
0.02,2.8524568944833817,0.025117930152680146,22.12191136130629,1.6518639223864616e-07
0.02,1.5424923722656265,0.025181355960663437,9.361345301307264,6.990204560388567e-08
0.02,0.7695111297070047,0.01876811196290862,3.743560803371398,2.7953520522487693e-08
0.02,0.45750394152873697,0.015637872858356442,2.379500961431959,1.7767957421384637e-08
0.02,0.33765722616766963,0.009787875365202052,1.9823535533027665,1.4802420381464203e-08
0.02,8.821238586977938,0.15675594691733202,61.70500605333942,4.6075708226746453e-07
0.02,8.968886163873405,0.1166555077816153,62.60534934212804,4.674800302633328e-07
0.02,3.5326488740216795,0.0786641519254658,27.65157852426503,2.0647693689417481e-07
0.02,2.6272812540858563,0.03171982253006176,19.12641057396415,1.4281870619527105e-07
0.02,1.9724526229186017,0.0341748684299693,14.723969606953807,1.0994526553697194e-07
0.02,0.7589397802982308,0.01674728956232502,3.4189782676110307,2.552983220775609e-08
0.02,0.46108728861322085,0.01610536191262115,2.3725768697600786,1.7716254577804487e-08
0.02,0.34652613234984736,0.010349769077478364,1.9902205279573237,1.4861163820934456e-08

