Corr config
dr,0.2
dtheta,1.2857142857142858
N_points_avg,1
neighbor_dist,8
""
General info
input_path,flatspin_temp_sweeps/DI40_0.25-0.25_alpha_0.0121_temps_1-3000_runs_25
report_created,2021-04-23 19:58:52.646966
""
Parameter results
T_c,79.68743117137996
C_curie,8.452287421134692e-08
A,3.5460772159079283
nu,0.020532967819406847
""
Temp sweep data
temps,corrLengths,corrLengthsVar,corrSums,susceptibilities
1.0,3.2436569835599354,0.21512202578882503,592.1459154279528,8.843218458915126e-08
126.0,3.600827048431507,0.21936370202485891,639.3236567450406,7.577602952307261e-10
250.9,3.2782809475549297,0.22419948979705145,597.934765465659,3.5590554938298664e-10
375.9,3.5602679511443567,0.22369483872976886,633.4541155542194,2.5166594540962713e-10
500.8,3.4137183262881807,0.21027151137519456,615.7585622913473,1.8362328609675891e-10
625.8,3.4604054841353293,0.20120674489454393,619.0937481914552,1.4774149027112602e-10
750.8,3.5591054001735296,0.20033034930711874,635.882295993925,1.264835614181376e-10
875.7,3.3981832157893055,0.2165078740107662,614.9216902179287,1.0486874686308748e-10
1000.7,3.6811161320874737,0.19866606871665385,652.390153993698,9.736101975697984e-11
1125.6,3.685500596636011,0.21984944759334257,649.6479900877173,8.619372117646199e-11
1250.6,3.4037781738252773,0.20856844104536246,615.1678771305778,7.34610008352115e-11
1375.5,3.4256233669403007,0.21807839635700163,618.4587678755428,6.714779749702619e-11
1500.5,3.4437536102316972,0.21913825150961946,620.0324725513765,6.171064010191917e-11
1625.5,3.561140043886641,0.2199844422009459,637.6675215114652,5.858533795680756e-11
1750.4,3.674827500967624,0.21361305816819945,649.9738598490477,5.5454935191503426e-11
1875.4,3.5738685076371666,0.23363619104700026,639.6407507624028,5.0935881740399784e-11
2000.3,3.1793194513024043,0.21539224386080605,585.6380209315919,4.3723583155743335e-11
2125.3,3.238950634317666,0.21015697233711542,592.053631919481,4.1602786804897824e-11
2250.2,3.2035137293020775,0.21341553019533893,586.7923915755237,3.894439572895173e-11
2375.2,3.4529196837859084,0.19592637566785776,620.3590656258436,3.9005384597867885e-11
2500.2,3.15925395095736,0.20333404747029074,581.0335561677671,3.470628108132499e-11
2625.1,3.0482942295679827,0.21601580764551087,567.761950339414,3.2299964720115504e-11
2750.1,3.0155109673331304,0.21825601094234046,563.3400921389332,3.059171258043235e-11
2875.0,2.9988449448636043,0.20799077187663784,558.8350743832117,2.9028689023913324e-11
3000.0,2.96311156897943,0.2306416317410134,557.6296495390669,2.775915351020853e-11

