Corr config
dr,0.2
dtheta,1.2857142857142858
N_points_avg,1
""
General info
input_path,flatspin_temp_sweeps/RDI40_0.0-0.0_alpha_0.0121_temps_10-3000_runs_25
report_created,2021-04-23 10:39:42.302970
""
Parameter results
T_c,115.14338858484413
C_curie,2.6656948732239345e-08
A,1.3035472313376668
nu,0.046172435291772965
""
Temp sweep data
temps,corrLengths,corrLengthsVar,corrSums,susceptibilities
10.0,1.2942963868801687,0.11636607619127984,214.04311822767022,3.1965601801824628e-09
134.6,1.2734533972059827,0.11681844721703248,207.8126948988843,2.305730955800874e-10
259.2,1.257785349094432,0.11468478763623378,207.02244698867997,1.1927901834893367e-10
383.8,1.2568876301606262,0.11393221961079482,209.16211485897065,8.138786758628032e-11
508.3,1.2912600050273915,0.11770213204259242,216.983068476125,6.375105154583382e-11
632.9,1.3177995389930286,0.11722260720870678,212.37135048386727,5.011208226112851e-11
757.5,1.2738886426155973,0.11469438242445948,209.63471623527815,4.1329693409792654e-11
882.1,1.2710154637695537,0.11872035124608064,209.77306707695203,3.5515139250417934e-11
1006.7,1.2804958466728278,0.12001191075725236,211.31247610280514,3.134777249597692e-11
1131.2,1.2632892735716694,0.11615758965422643,209.92746129084972,2.7714782403684736e-11
1255.8,1.2699215328115303,0.11495602689484771,212.880301823605,2.531608903748173e-11
1380.4,1.2732467647695476,0.11621812734347052,207.6405355106504,2.246408871217112e-11
1505.0,1.2677386510083406,0.10834348983479947,207.3186530333386,2.05723305805932e-11
1629.6,1.2721927394598034,0.11506261966508377,209.7608143981218,1.922316795207105e-11
1754.2,1.2159122475687794,0.10801279448058482,207.75296882231478,1.7686819667361232e-11
1878.8,1.2210969715782,0.11344940436432639,204.24375698175584,1.6234908859300748e-11
2003.3,1.1333685661197659,0.10102268733654757,194.9076413349451,1.4529962410435523e-11
2127.9,1.0911631531749806,0.0932478376398302,189.1318865462796,1.3273796519998037e-11
2252.5,1.0926933185536791,0.09739869099373566,190.63356064730579,1.2639100754349765e-11
2377.1,1.0530584395455416,0.09142011749575853,183.52368569660382,1.152991979863273e-11
2501.7,1.0529784780990679,0.09418939918289448,185.2505929853063,1.1058748824965429e-11
2626.2,0.9941966995455094,0.09187258746447259,180.89875395865374,1.0287015501935944e-11
2750.8,0.9856565703621709,0.09164572094266124,180.53254505983048,9.801174125908073e-12
2875.4,0.9816506160959584,0.090810876820144,180.18184053133172,9.358244039692977e-12
3000.0,0.9556215046439849,0.09066996976373515,177.9976192574988,8.860833066363688e-12

