Corr config
dr,0.2
dtheta,1.2857142857142858
N_points_avg,1
neighbor_dist,8
""
General info
input_path,flatspin_temp_sweeps/S40_alpha_0.0121_temps_1-5000_runs_25
report_created,2021-04-25 17:01:30.941658
""
Parameter results
T_c,-944.4633543663066
C_curie,1.648650478962621e-08
A,0.7765683590904501
nu,-2.354294965484663
""
Temp sweep data
temps,corrLengths,corrLengthsVar,corrSums,susceptibilities
1.0,3.686038508467119,0.15686098911952087,27.60665977959141,4.122830488080541e-09
209.3,5.461240796256362,0.17238679385405084,43.402898062739794,3.0969280551420906e-11
417.6,6.304791965398461,0.15270915510721225,49.26508558612353,1.7618152606515204e-11
625.9,7.504049204804837,0.15129375731964215,55.92990674951719,1.3345067031102125e-11
834.2,7.16476367532103,0.14306312877765884,54.20883350531267,9.704686094290814e-12
1042.5,6.573699580939611,0.16266399571169501,50.94125450231325,7.297518222156505e-12
1250.8,6.01872302029873,0.16583137453138203,47.39853579659022,5.6592472599226944e-12
1459.0,7.735118852453624,0.14947997214182554,57.11241656258659,5.845973745070359e-12
1667.3,8.905055676906453,0.1682137736175393,62.072355717157734,5.5598886433006675e-12
1875.6,9.643073986883644,0.17319441376492528,64.7155791352786,5.152882432841016e-12
2083.9,10.830464026723053,0.1666209543477803,68.49344007688059,4.908555664203633e-12
2292.2,10.897529885959866,0.1705640903235072,68.71608226966988,4.477004167351051e-12
2500.5,10.828865392117422,0.1852286955578561,68.46039041195085,4.088783623083675e-12
2708.8,12.832449708625836,0.20744130457470278,73.6883269941512,4.062593521216644e-12
2917.1,19.292416998834405,0.18341907316595113,84.04758804048055,4.302843528289626e-12
3125.4,16.4908704556452,0.19534400766411505,80.33080170383761,3.8384696343305594e-12
3333.7,16.332346389603615,0.2028993666037914,80.12047530506825,3.589207923690917e-12
3542.0,21.772316510920582,0.2284146438110972,86.67995968263506,3.654700222418013e-12
3750.2,33.58676972513867,0.23231633317281422,94.11273530044426,3.747792884783387e-12
3958.5,32.24187921231171,0.19863517565820518,93.4951895974885,3.5272824150283475e-12
4166.8,36.212012584006835,0.2394598299157599,95.16313984687497,3.4107330005881832e-12
4375.1,99.9999999999632,8.946069944654662,106.81448602662729,3.6460597967248085e-12
4583.4,99.99999971001482,12.648624404606387,108.07062349823121,3.521287722854205e-12
4791.7,25.970774163603522,0.2813467821044451,89.93454930762513,2.8029707041184407e-12
5000.0,24.721767274797845,0.5051337512835136,88.9441724869537,2.6566179972080236e-12

